input_line,query_name,query_birth,query_death,query_state,chosen_memorial_url,chosen_memorial_id,parsed_name,parsed_birth,parsed_death,parsed_place,parsed_bio_snippet,match_score
Deputy Grant Whitaker Memorial Highway,Deputy Grant Whitaker Memorial Highway,,,,,,,,,,,0.000
Candice Dunn Memorial Highway,Candice Dunn Memorial Highway,,,,,,,,,,,0.000
Veterans Highway,Veterans Highway,,,,,,,,,,,0.000
Louis Chevrolet Freeway,Louis Chevrolet Freeway,,,,,,,,,,,0.000
Walter P. Reuther Highway,Walter P Reuther Highway,,,,,,,,,,,0.000
Olds Freeway,Olds Freeway,,,,,,,,,,,0.000
Veterans Memorial Freeway,Veterans Memorial Freeway,,,,,,,,,,,0.000
Veterans Memorial Highway,Veterans Memorial Highway,,,,,,,,,,,0.000
Chevrolet-Buick Freeway,Chevrolet-Buick Freeway,,,,,,,,,,,0.000
DeWayne T. Williams Memorial Highway,DeWayne T Williams Memorial Highway,,,,,,,,,,,0.000
Fort Custer Memorial Highway,Fort Custer Memorial Highway,,,,,,,,,,,0.000
Haskell L. Nichols Memorial Highway,Haskell L Nichols Memorial Highway,,,,,,,,,,,0.000
117th Quartermaster Battalion,117th Quartermaster Battalion,,,,,,,,,,,0.000
St. Joseph Valley Parkway,St Joseph Valley Parkway,,,,,,,,,,,0.000
Disabled American Veterans Memorial Highway,Disabled American Veterans Memorial Highway,,,,,,,,,,,0.000
Paul B. Henry Freeway,Paul B Henry Freeway,,,,,,,,,,,0.000
Keith Deacon Memorial Highway,Keith Deacon Memorial Highway,,,,,,,,,,,0.000
Veterans' Memorial Drive,Veterans' Memorial Drive,,,,,,,,,,,0.000
Pearl Harbor Memorial Highway,Pearl Harbor Memorial Highway,,,,,,,,,,,0.000
James G. O'Hara Freeway,James G O'Hara Freeway,,,,,,,,,,,0.000
James M. Pelton Firefighters Memorial Highway,James M Pelton Firefighters Memorial Highway,,,,https://www.findagrave.com/memorial/104943117/james-highway,104943117,Private James Highway (1895-1919) - Find a Grave...,18,19,Cemetery Guy Add Photos Request Photo Adding photos to this memorial is not allowed,,0.344
Gary Priess Memorial Highway,Gary Priess Memorial Highway,,,,,,,,,,,0.000
Eric Zapata Memorial Highway,Eric Zapata Memorial Highway,,,,,,,,,,,0.000
Oscar G. Johnson Memorial Highway,Oscar G Johnson Memorial Highway,,,,,,,,,,,0.000
Purple Heart Trail,Purple Heart Trail,,,,,,,,,,,0.000
Veterans Memorial Highway,Veterans Memorial Highway,,,,,,,,,,,0.000
Elgie G. Hanna Memorial Highway,Elgie G Hanna Memorial Highway,,,,,,,,,,,0.000
Trooper Paul K. Butterfield II Memorial Highway,Paul K Butterfield II Memorial Highway,,,,,,,,,,,0.000
Kevin Sherwood Memorial Highway,Kevin Sherwood Memorial Highway,,,,,,,,,,,0.000
Korean War Veterans Memorial Highway,Korean War Veterans Memorial Highway,,,,,,,,,,,0.000
